数据集,视频文件,Ground Truth,预测结果,正确性,描述摘要
"大样本事故数据集","100.mp4",事故,YES,✓,"在视频片段的后半段，一辆大型水泥搅拌车在十字路口转弯过程中突然失去平衡，车身急剧向右侧倾倒，最终完全翻倒在地。整个侧翻过程在画面中清晰可见，属于典型的交通事故。"
"大样本事故数据集","101.mp4",事故,UNCERTAIN,✗,"该视频片段拍摄于夜间雨天，路面湿滑且光线条件恶劣，导致画面存在严重眩光和模糊。根据检测元数据，一个目标（ID:3）的轨迹出现异常中断和剧烈位移，同时在帧7-9期"
"大样本事故数据集","102.mp4",事故,YES,✓,"在视频第6.53秒，一辆红色跑车在路口斑马线处与一辆银灰色轿车发生正面碰撞。红色跑车在左转车道上，银灰色轿车从左侧直行道驶入，两车在交叉点相撞。碰撞导致红色跑车"
"大样本事故数据集","103.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在十字路口的交通事故。一辆红色平板大货车在行驶过程中，与一辆正在通过路口的橙色小轿车发生正面碰撞。碰撞瞬间产生了明显的冲击效果、烟尘和"
"大样本事故数据集","104.mp4",事故,YES,✓,"视频片段清晰记录了一起发生在高速公路匝道口的交通事故。一辆红色大货车在行驶过程中与一辆红色小轿车发生侧面碰撞。碰撞瞬间，红色小轿车被巨大的冲击力撞得原地旋转，同"
"大样本事故数据集","105.mp4",事故,YES,✓,"根据视频分析，在片段中段（约6-9.6秒），一辆深色SUV（ID:2）与前方黑色轿车（ID:3）在高速公路右侧车道发生物理接触。从轨迹和画面可见，ID:2从后方"
"大样本事故数据集","106.mp4",事故,YES,✓,"监控画面显示，在夜间一条城市道路上，一辆汽车与一名骑自行车的人发生了直接碰撞。碰撞发生在画面中央，伴随着强烈的闪光和烟雾，骑车人被撞离原位，车辆轨迹也在此刻中断"
"大样本事故数据集","107.mp4",事故,YES,✓,"在监控视频的第5帧（约5.33秒），清晰记录了一起交通事故。一辆红色大货车与一辆白色面包车在路口发生碰撞。碰撞过程有明显的物理接触、车辆形变和烟尘散落，符合事故"
"大样本事故数据集","108.mp4",事故,YES,✓,"监控画面清晰记录了一起交通事故。一辆黄色出租车在行驶过程中，与一辆停靠在道路左侧的黑色轿车发生追尾碰撞。碰撞发生在视频片段的中间部分（约第4-5秒），黄色出租车"
"大样本事故数据集","109.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的交通事故。一辆大型货车在路口正常行驶时，一辆小型汽车从其右侧突然冲出，猛烈撞击货车右后侧。碰撞瞬间产生大量火花和烟雾，小车严重损毁并"
